City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Thompson,CA,55.7435,-97.8558,33.96,75,75,4.61,light shower snow
79,Portland,US,45.5234,-122.6762,53.37,94,90,1.01,mist
80,Xinqing,CN,48.2333,129.5,32.49,79,1,4.47,clear sky
81,Hithadhoo,MV,-0.6,73.0833,82.35,74,98,11.77,overcast clouds
82,Sorong,ID,-0.8833,131.25,78.91,83,51,8.01,broken clouds
83,Aklavik,CA,68.2191,-135.0107,28.4,86,75,6.91,broken clouds
84,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,93,90,11.5,overcast clouds
85,Guasdualito,VE,7.2424,-70.7324,86.85,58,43,8.05,scattered clouds
86,Avon,US,41.4517,-82.0354,54.52,71,75,1.01,broken clouds
87,Hirara,JP,24.8,125.2833,76.01,63,82,16.22,broken clouds
88,Timberlake,US,37.3207,-79.2575,67.87,53,1,1.99,clear sky
89,Cabo San Lucas,MX,22.8909,-109.9124,87.62,69,40,6.91,scattered clouds
90,Lavrentiya,RU,65.5833,-171.0,23.67,87,100,9.95,overcast clouds
91,Hobart,AU,-42.8794,147.3294,52.02,93,90,1.99,overcast clouds
92,Axim,GH,4.8699,-2.2405,78.26,83,94,7.07,overcast clouds
93,Bathsheba,BB,13.2167,-59.5167,88.41,62,40,24.16,scattered clouds
94,Bitung,ID,1.4451,125.1824,76.05,81,97,0.87,overcast clouds
95,Shahreza,IR,32.0339,51.8794,54.79,33,0,5.19,clear sky
96,Yumen,CN,40.2833,97.2,42.37,41,86,6.55,overcast clouds
97,Kilindoni,TZ,-7.9139,39.6668,78.57,75,14,15.39,few clouds
98,Butaritari,KI,3.0707,172.7902,81.32,71,78,8.16,broken clouds
99,Chokurdakh,RU,70.6333,147.9167,-4.32,94,100,5.79,overcast clouds
100,Los Arabos,CU,22.7281,-80.7214,87.73,55,94,3.71,overcast clouds
101,Novita,CO,4.9551,-76.6053,77.77,95,84,4.27,broken clouds
102,Pangnirtung,CA,66.1451,-65.7125,30.2,86,90,6.91,light snow
103,Santa Cruz De La Palma,ES,28.6835,-17.7642,70.14,73,75,11.5,broken clouds
104,Mouila,GA,-1.8685,11.0559,74.86,88,57,1.41,broken clouds
105,Laguna,US,38.421,-121.4238,64.26,80,75,4.0,broken clouds
106,Oranjestad,AW,12.524,-70.027,91.35,58,40,21.85,scattered clouds
107,Mehamn,NO,71.0357,27.8492,35.85,60,100,20.38,overcast clouds
108,Lebu,CL,-37.6167,-73.65,55.35,65,70,9.26,broken clouds
109,Turan,VN,16.0678,108.2208,71.58,94,75,5.75,broken clouds
110,Cape Town,ZA,-33.9258,18.4232,62.1,66,75,1.01,light rain
111,Norman Wells,CA,65.282,-126.8329,37.44,75,20,4.61,few clouds
112,San Patricio,US,28.017,-97.5169,86.05,54,95,13.09,overcast clouds
113,Severo-Kurilsk,RU,50.6789,156.125,38.95,78,59,8.08,broken clouds
114,Marawi,PH,7.9986,124.2928,67.64,93,100,3.89,light rain
115,Taltal,CL,-25.4,-70.4833,61.56,67,6,9.73,clear sky
116,Dubno,UA,50.4169,25.7343,42.89,65,90,12.8,overcast clouds
117,Markova,UA,48.6758,24.4138,42.39,69,81,5.06,broken clouds
118,Puerto Ayora,EC,-0.7393,-90.3518,76.96,78,91,10.07,overcast clouds
119,Alpena,US,45.0617,-83.4327,51.98,65,40,1.99,scattered clouds
120,Kainantu,PG,-6.2887,145.8655,55.09,85,51,1.86,broken clouds
121,Pisco,PE,-13.7,-76.2167,67.01,72,0,10.36,clear sky
122,Bambous Virieux,MU,-20.3428,57.7575,75.45,78,40,10.36,scattered clouds
123,Qasigiannguit,GL,68.8193,-51.1922,19.65,95,100,4.45,light snow
124,Oistins,BB,13.0667,-59.5333,87.89,62,40,24.16,scattered clouds
125,Don Sak,TH,9.3168,99.6918,78.94,85,99,5.95,overcast clouds
126,Aktash,RU,50.3,87.7333,15.78,67,49,4.79,scattered clouds
127,Coahuayana,MX,18.7333,-103.6833,88.36,62,96,3.98,overcast clouds
128,Barrow,US,71.2906,-156.7887,30.22,86,90,13.8,overcast clouds
129,Rawson,AR,-43.3002,-65.1023,58.24,27,4,7.61,clear sky
130,Lascahobas,HT,18.8294,-71.9364,87.44,49,37,4.99,scattered clouds
131,Virginia Beach,US,36.8529,-75.978,74.01,62,40,9.22,scattered clouds
132,Sao Filipe,CV,14.8961,-24.4956,80.26,67,0,4.23,clear sky
133,Hamilton,US,39.1834,-84.5333,61.65,67,20,1.99,few clouds
134,Khatanga,RU,71.9667,102.5,10.92,92,100,17.07,overcast clouds
135,Menongue,AO,-14.6585,17.691,74.77,44,22,5.35,few clouds
136,Lata,PT,40.1629,-8.3327,65.05,52,99,2.95,overcast clouds
137,Kalmunai,LK,7.4167,81.8167,79.5,80,45,4.45,scattered clouds
138,Asosa,ET,10.0667,34.5333,63.97,74,9,5.84,clear sky
139,Atamanskaya,RU,46.1773,39.6358,56.44,83,100,6.42,light rain
140,Kota Kinabalu,MY,5.9749,116.0724,76.98,94,20,2.3,few clouds
141,Suez,EG,29.9737,32.5263,69.04,64,0,11.07,clear sky
142,Bukama,CD,-9.2,25.85,79.56,63,58,7.65,light rain
143,Victoria,HK,22.2855,114.1577,70.25,79,69,3.0,light rain
144,Georgetown,MY,5.4112,100.3354,80.53,89,40,7.0,scattered clouds
145,Kemijarvi,FI,66.7131,27.4306,21.9,97,100,2.42,overcast clouds
146,Moultrie,US,31.1799,-83.7891,80.38,41,1,0.0,clear sky
147,Staryy Nadym,RU,65.6118,72.6842,33.04,99,100,9.78,overcast clouds
148,North Platte,US,41.1239,-100.7654,44.49,81,90,5.75,overcast clouds
149,Da Nang,VN,16.0678,108.2208,71.58,94,75,5.75,broken clouds
150,Ancud,CL,-41.8697,-73.8203,56.73,58,13,10.63,few clouds
151,Cherskiy,RU,68.75,161.3,-6.66,100,100,2.3,overcast clouds
152,Sovetskaya Gavan,RU,48.9723,140.2878,34.18,87,32,5.53,scattered clouds
153,Narsaq,GL,60.9167,-46.05,37.62,78,90,3.44,overcast clouds
154,Mae Hong Son,TH,19.3003,97.9685,72.46,99,95,2.26,overcast clouds
