City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2021-10-21 16:36:55,-54.8,-68.3,53.22,61,75,36.82
1,Morro Bay,US,2021-10-21 16:41:23,35.3658,-120.8499,69.15,90,100,3.0
2,Derbent,RU,2021-10-21 16:41:23,42.0678,48.2899,51.76,77,4,8.77
3,Margate,GB,2021-10-21 16:38:05,51.3813,1.3862,50.97,61,31,1.99
4,La Ronge,CA,2021-10-21 16:41:24,55.1001,-105.2842,37.65,70,20,8.05
5,Saskylakh,RU,2021-10-21 16:41:25,71.9167,114.0833,9.81,96,99,5.77
6,Namibe,AO,2021-10-21 16:41:25,-15.1961,12.1522,68.34,77,7,11.83
7,Vila Franca Do Campo,PT,2021-10-21 16:41:26,37.7167,-25.4333,70.21,65,72,3.49
8,Saint George,US,2021-10-21 16:41:26,37.1041,-113.5841,72.36,44,1,0.0
9,New Norfolk,AU,2021-10-21 16:41:26,-42.7826,147.0587,58.5,98,99,2.75
10,Butaritari,KI,2021-10-21 16:41:27,3.0707,172.7902,81.81,79,63,14.7
11,Kapaa,US,2021-10-21 16:41:28,22.0752,-159.319,71.58,100,90,9.22
12,Nabire,ID,2021-10-21 16:41:28,-3.3667,135.4833,74.64,93,100,3.65
13,Miri,MY,2021-10-21 16:41:28,4.4148,114.0089,75.34,100,40,3.44
14,Bom Jardim,BR,2021-10-21 16:41:29,-7.7958,-35.5872,89.94,51,100,10.47
15,Salalah,OM,2021-10-21 16:41:29,17.0151,54.0924,80.69,69,40,5.75
16,Gizo,SB,2021-10-21 16:41:30,-8.103,156.8419,81.16,74,97,2.35
17,Oriximina,BR,2021-10-21 16:41:30,-1.7656,-55.8661,88.2,55,86,6.71
18,Port Alfred,ZA,2021-10-21 16:41:31,-33.5906,26.891,70.54,76,56,12.64
19,Hermanus,ZA,2021-10-21 16:37:13,-34.4187,19.2345,63.9,77,72,4.03
20,Richards Bay,ZA,2021-10-21 16:41:32,-28.783,32.0377,69.06,79,46,15.48
21,Rikitea,PF,2021-10-21 16:41:32,-23.1203,-134.9692,74.39,74,100,20.0
22,Busselton,AU,2021-10-21 16:41:32,-33.65,115.3333,52.09,86,44,6.06
23,Lebu,CL,2021-10-21 16:41:33,-37.6167,-73.65,55.35,72,63,16.93
24,Mahebourg,MU,2021-10-21 16:41:33,-20.4081,57.7,73.26,94,75,3.44
25,Walvis Bay,NA,2021-10-21 16:41:34,-22.9575,14.5053,67.15,55,17,8.05
