City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
455,Vila Franca Do Campo,PT,70.21,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
458,Tezu,IN,70.93,few clouds,27.9167,96.1667,Circuit House
462,Campobello Di Mazara,IT,71.85,overcast clouds,37.6358,12.7443,BED AND BREAKFAST CASA VACANZA DA MATI CAMPOBELLO DI MAZARA
471,Alice Springs,AU,71.15,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
472,Poum,NC,73.69,clear sky,-20.2333,164.0167,Gîte kajeon
476,Cidreira,BR,72.82,moderate rain,-30.1811,-50.2056,Hotel Castelo
478,Tura,IN,66.36,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
479,Ternate,ID,80.37,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
480,Barcelos,PT,65.84,overcast clouds,41.5388,-8.6151,Hotel Do Terço
481,Santa Barbara,US,60.3,broken clouds,34.7333,-120.0343,Upper Ballard Campground
484,Vinh,VN,67.06,overcast clouds,18.6667,105.6667,Khách Sạn Thương Mại
487,Palu,ID,74.91,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
488,La Orilla,MX,84.22,overcast clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
489,Bhabua,IN,71.28,clear sky,25.05,83.6167,Kohinoor Hotel
497,Imperia,IT,61.14,clear sky,43.9667,7.7833,La Stregatta
499,Salalah,OM,77.97,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
500,Morristown,US,66.9,clear sky,36.214,-83.2949,Days Inn by Wyndham Morristown
503,Ambovombe,MG,71.01,scattered clouds,-25.1667,46.0833,RELAHARA
507,Guerrero Negro,MX,70.92,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
509,Jos,NG,67.66,scattered clouds,9.9167,8.9,Silk Suites
511,Numan,NG,77.23,moderate rain,9.4667,12.0333,Zangun Motel
513,Ofaqim,IL,72.73,clear sky,31.3141,34.6203,The Negev Experience
516,Porto Seguro,BR,75.72,overcast clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
517,Rock Sound,BS,77.72,overcast clouds,24.9,-76.2,Rock Sound Club
518,Chake Chake,TZ,75.63,broken clouds,-5.2459,39.7666,Hotel Archipelago
520,Uyuni,BO,66.2,few clouds,-20.4597,-66.825,Hostal La Magia de Uyuni
521,Itoman,JP,73.42,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
523,Kendrapara,IN,75.61,scattered clouds,20.5042,86.416,Hotel Mayuri Palace
524,Salta,AR,84.49,few clouds,-24.7859,-65.4117,Hotel Alejandro I
527,Nouadhibou,MR,69.1,clear sky,20.931,-17.0347,El Medina
528,Soure,BR,84.42,overcast clouds,-0.7167,-48.5233,Casarão da Amazônia
529,Sal Rei,CV,84.4,clear sky,16.1833,-22.9167,Marine Club Beach Resort
530,Paso De Los Toros,UY,64.44,light rain,-32.8167,-56.5167,Complejo Isabelino
531,Fukue,JP,64.85,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
535,Padang,ID,77.11,broken clouds,-0.9492,100.3543,Mercure Padang
544,Hong Gai,VN,67.91,scattered clouds,20.956,107.0946,Hạ Long DC Hotel
545,Puerto Madryn,AR,62.53,clear sky,-42.7692,-65.0385,Hotel Tolosa
546,Banjar,ID,80.46,overcast clouds,-8.19,114.9675,The Hamsa Resort
550,Greenwood,US,73.15,clear sky,34.1668,-82.1165,Quality Inn Greenwood Hwy 25
553,Ponta Delgada,PT,70.52,few clouds,37.7333,-25.6667,Vila Nova Hotel
555,Wukari,NG,73.89,broken clouds,7.85,9.7833,Elimtop
558,Bubaque,GW,84.15,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
560,Mindelo,CV,81.95,few clouds,16.8901,-24.9804,Hotel Gaudi
568,Frederico Westphalen,BR,63.63,moderate rain,-27.3592,-53.3944,Hotel Palace Frederico
571,Nkoteng,CM,70.52,scattered clouds,4.5167,12.0333,Résidence OOCLO-Cannelle
574,Poso,ID,76.12,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
